# infovis

ABE,ATL,817
ABE,AVP,694
ABE,DTW,993
ABE,HPN,17
ABE,MDT,220
ABE,ORD,770
ABE,PIT,1435
ABE,ROC,1
ABQ,AMA,959
ABQ,AUS,297
ABQ,BNA,54
ABQ,DAL,1224
ABQ,DEN,3730
ABQ,DFW,3899
ABQ,ELP,2196
ABQ,HOU,192
ABQ,IAH,690
ABQ,LAS,1719
ABQ,LAX,2700
ABQ,LBB,928
ABQ,MAF,561
ABQ,MCI,645
ABQ,ORD,1021
ABQ,PHX,5892
ABQ,PIT,292
ABQ,SAN,485
ABQ,SAT,124
ABQ,SFO,519
ABQ,SLC,1083
ABQ,STL,1371
ABQ,TUL,310
ABQ,TUS,589
ACV,RDD,5
ACV,SFO,14
ACY,PIT,447
AGS,ATL,2147
AGS,CAE,350
AGS,CLT,721
ALB,ATL,710
ALB,BDL,1
ALB,BGR,112
ALB,BUF,628
ALB,BWI,1083
ALB,CLE,360
ALB,DCA,660
ALB,DTW,1144
ALB,ISP,998
ALB,MHT,116
ALB,ORD,2812
ALB,PHL,1477
ALB,PIT,1433
ALB,PVD,10
ALB,PWM,126
ALB,RDU,267
ALB,ROC,316
ALB,SYR,195
ALO,RST,57
ALO,STL,59
AMA,ABQ,910
AMA,DAL,2296
AMA,DEN,533
AMA,DFW,2895
AMA,LBB,453
AMA,MAF,521
ANC,BET,577
ANC,CDV,337
ANC,DEN,121
ANC,FAI,3115
ANC,HNL,2
ANC,JNU,654
ANC,MSP,191
ANC,OME,541
ANC,ORD,244
ANC,OTZ,438
ANC,PDX,359
ANC,SCC,551
ANC,SEA,5711
ANC,SFO,92
ANC,SIT,1
ANC,SLC,707
APF,TPA,807
ATL,ABE,682
ATL,AGS,2480
ATL,ALB,708
ATL,AUS,1059
ATL,AVP,120
ATL,BDL,2418
ATL,BHM,5760
ATL,BNA,5170
ATL,BOS,4057
ATL,BTR,1010
ATL,BUF,1392
ATL,BWI,3577
ATL,CAE,4472
ATL,CAK,684
ATL,CHA,2376
ATL,CHS,5437
ATL,CLE,3302
ATL,CLT,6404
ATL,CMH,3136
ATL,CSG,1021
ATL,CVG,2131
ATL,DAB,2450
ATL,DAY,1596
ATL,DCA,5654
ATL,DEN,3139
ATL,DFW,6708
ATL,DTW,4994
ATL,EWR,4653
ATL,FLL,4653
ATL,FWA,357
ATL,GNV,1554
ATL,GSO,3626
ATL,GSP,4581
ATL,HNL,308
ATL,HOU,2627
ATL,HSV,1641
ATL,IAD,2884
ATL,IAH,3277
ATL,IND,2821
ATL,JAN,1762
ATL,JAX,6096
ATL,JFK,1030
ATL,LAS,663
ATL,LAX,2871
ATL,LEX,1419
ATL,LGA,5862
ATL,LIT,1061
ATL,MCI,3519
ATL,MCO,6892
ATL,MEM,4362
ATL,MGM,2119
ATL,MIA,6190
ATL,MKE,1162
ATL,MLB,2518
ATL,MLU,350
ATL,MOB,3322
ATL,MSP,2696
ATL,MSY,4237
ATL,OKC,708
ATL,OMA,498
ATL,ONT,354
ATL,ORD,8761
ATL,ORF,3390
ATL,PBI,3375
ATL,PDX,311
ATL,PHL,5771
ATL,PHX,1630
ATL,PIT,5125
ATL,PNS,3469
ATL,PVD,459
ATL,RDU,5718
ATL,RIC,3126
ATL,ROC,1057
ATL,RSW,3517
ATL,SAN,354
ATL,SAT,1773
ATL,SAV,4506
ATL,SDF,3469
ATL,SEA,1367
ATL,SFO,2200
ATL,SHV,357
ATL,SJU,1604
ATL,SLC,1756
ATL,SRQ,3152
ATL,STL,4885
ATL,STT,145
ATL,SYR,689
ATL,TLH,2691
ATL,TOL,716
ATL,TPA,5984
ATL,TUL,1061
ATL,TUS,217
ATL,TYS,2486
ATW,CWA,59
ATW,DTW,197
ATW,GRB,84
ATW,MSP,871
AUS,ABQ,297
AUS,ATL,1080
AUS,DAL,3439
AUS,DEN,1059
AUS,DFW,6083
AUS,ELP,1116
AUS,HOU,3610
AUS,HRL,299
AUS,IAH,2900
AUS,LAS,59
AUS,LAX,344
AUS,LBB,694
AUS,MAF,883
AUS,MEM,897
AUS,ORD,1411
AUS,PHX,1821
AUS,SAT,2349
AUS,STL,642
AVL,BWI,525
AVL,CLT,1795
AVL,LEX,1
AVP,ABE,833
AVP,PHL,362
AVP,PIT,1078
AZO,DAY,1322
AZO,DTW,1282
AZO,LAN,678
AZO,MSP,692
AZO,SBN,53
BDL,ATL,2438
BDL,BOS,1042
BDL,BTV,58
BDL,BUF,630
BDL,BWI,1761
BDL,CLE,366
BDL,CVG,728
BDL,DCA,1656
BDL,DEN,258
BDL,DFW,728
BDL,DTW,1777
BDL,EWR,1978
BDL,FLL,580
BDL,IAD,1811
BDL,ISP,348
BDL,JFK,464
BDL,LAX,68
BDL,LGA,112
BDL,MCO,889
BDL,MSP,661
BDL,ORD,3758
BDL,PBI,358
BDL,PHL,2470
BDL,PIT,2049
BDL,PVD,328
BDL,RDU,1082
BDL,SJU,385
BDL,STL,1010
BDL,SYR,916
BDL,TPA,458
BET,ANC,584
BFI,DEN,1
BFL,BUR,121
BFL,DEN,86
BFL,DFW,361
BFL,ONT,29
BFL,SBA,684
BGM,BWI,511
BGM,ELM,363
BGM,ITH,212
BGM,PIT,1075
BGR,BOS,1424
BGR,BTV,123
BGR,MHT,247
BGR,PWM,221
BGR,SYR,116
BHM,ATL,5319
BHM,BNA,2851
BHM,BTR,1
BHM,CLT,1377
BHM,CVG,334
BHM,DFW,1791
BHM,DTW,316
BHM,HOU,358
BHM,HSV,1145
BHM,JAN,710
BHM,MCO,188
BHM,MEM,1872
BHM,MGM,352
BHM,MOB,1
BHM,MSY,1274
BHM,ORD,306
BHM,PNS,141
BHM,SDF,249
BIL,BZN,450
BIL,DEN,1891
BIL,GEG,345
BIL,GTF,1168
BIL,MSO,240
BIL,MSP,1075
BIL,SLC,1071
BIS,CPR,299
BIS,DEN,843
BIS,FAR,5
BIS,FSD,209
BIS,MOT,1179
BIS,MSP,1369
BIS,SLC,209
BLI,SEA,1045
BNA,ATL,5096
BNA,BHM,2953
BNA,BOS,1066
BNA,BTR,1051
BNA,BWI,1287
BNA,CAK,56
BNA,CHA,1062
BNA,CLE,1065
BNA,CLT,1444
BNA,CMH,324
BNA,CVG,839
BNA,DCA,1064
BNA,DET,279
BNA,DFW,3360
BNA,DSM,197
BNA,DTW,2221
BNA,EVV,24
BNA,EWR,1062
BNA,FLL,317
BNA,GSO,703
BNA,HOU,1572
BNA,HSV,1061
BNA,IAD,300
BNA,IAH,1206
BNA,IND,436
BNA,JAN,1064
BNA,JFK,178
BNA,LAX,441
BNA,LGA,1077
BNA,LIT,1060
BNA,MCI,177
BNA,MCO,1075
BNA,MDW,1878
BNA,MEM,3652
BNA,MIA,323
BNA,MKE,1052
BNA,MOB,1051
BNA,MSP,500
BNA,MSY,1059
